Match #,Time,Home Team,Results,Away Team,Location,Division
91,"Jun 27, 2026 1:50PM EDT",Acushnet Youth Soccer Acushnet FC (Garcia Jr),0 - 6,Bridgewater United,Flagg Street Soccer Complex - Field 3 - 7v7,BU10 Red
93,"Jun 27, 2026 3:00PM EDT",Attleboro Spartans,2 - 0,Braintree Wamps,Flagg Street Soccer Complex - Field 3 - 7v7,BU10 Red
92,"Jun 27, 2026 3:00PM EDT",HAYSA squad,1 - 3,Acushnet Youth Soccer Acushnet FC (Araujo),Flagg Street Soccer Complex - Field 4 - 7v7,BU10 Red
94,"Jun 27, 2026 5:20PM EDT",Acushnet Youth Soccer Acushnet FC (Garcia Jr),2 - 5,HAYSA squad,Flagg Street Soccer Complex - Field 3 - 7v7,BU10 Red
95,"Jun 27, 2026 6:30PM EDT",Attleboro Spartans,2 - 0,Bridgewater United,Flagg Street Soccer Complex - Field 4 - 7v7,BU10 Red
96,"Jun 27, 2026 6:30PM EDT",Acushnet Youth Soccer Acushnet FC (Araujo),2 - 2,Braintree Wamps,Flagg Street Soccer Complex - Field 3 - 7v7,BU10 Red
99,"Jun 28, 2026 8:00AM EDT",Bridgewater United,0 - 1,Acushnet Youth Soccer Acushnet FC (Araujo),Flagg Street Soccer Complex - Field 4 - 7v7,BU10 Red
98,"Jun 28, 2026 8:00AM EDT",HAYSA squad,3 - 3,Braintree Wamps,Flagg Street Soccer Complex - Field 3 - 7v7,BU10 Red
97,"Jun 28, 2026 9:10AM EDT",Attleboro Spartans,1 - 0,Acushnet Youth Soccer Acushnet FC (Garcia Jr),Flagg Street Soccer Complex - Field 3 - 7v7,BU10 Red
101,"Jun 28, 2026 11:30AM EDT",Braintree Wamps,4 - 0,Acushnet Youth Soccer Acushnet FC (Garcia Jr),Flagg Street Soccer Complex - Field 4 - 7v7,BU10 Red
100,"Jun 28, 2026 11:30AM EDT",Bridgewater United,3 - 2,HAYSA squad,Flagg Street Soccer Complex - Field 3 - 7v7,BU10 Red
102,"Jun 28, 2026 12:40PM EDT",Acushnet Youth Soccer Acushnet FC (Araujo),-,Attleboro Spartans,Flagg Street Soccer Complex - Field 3 - 7v7,BU10 Red
