Division,Match #,datetime,Home Team,Results,Away Team,Location
BU10 Red,93,2026-06-27T15:00:00-04:00,Attleboro Spartans,2 - 0,Braintree Wamps,Flagg Street Soccer Complex - Field 3 - 7v7
BU10 Red,94,2026-06-27T17:20:00-04:00,Acushnet Youth Soccer Acushnet FC (Garcia Jr),2 - 5,HAYSA squad,Flagg Street Soccer Complex - Field 3 - 7v7
BU10 Red,96,2026-06-27T18:30:00-04:00,Acushnet Youth Soccer Acushnet FC (Araujo),2 - 2,Braintree Wamps,Flagg Street Soccer Complex - Field 3 - 7v7
BU10 Red,95,2026-06-27T18:30:00-04:00,Attleboro Spartans,2 - 0,Bridgewater United,Flagg Street Soccer Complex - Field 4 - 7v7
BU10 Red,98,2026-06-28T08:00:00-04:00,HAYSA squad,3 - 3,Braintree Wamps,Flagg Street Soccer Complex - Field 3 - 7v7
BU10 Red,99,2026-06-28T08:00:00-04:00,Bridgewater United,0 - 1,Acushnet Youth Soccer Acushnet FC (Araujo),Flagg Street Soccer Complex - Field 4 - 7v7
BU10 Red,97,2026-06-28T09:10:00-04:00,Attleboro Spartans,1 - 0,Acushnet Youth Soccer Acushnet FC (Garcia Jr),Flagg Street Soccer Complex - Field 3 - 7v7
BU10 Red,101,2026-06-28T11:30:00-04:00,Braintree Wamps,4 - 0,Acushnet Youth Soccer Acushnet FC (Garcia Jr),Flagg Street Soccer Complex - Field 4 - 7v7
BU10 Red,100,2026-06-28T11:30:00-04:00,Bridgewater United,3 - 2,HAYSA squad,Flagg Street Soccer Complex - Field 3 - 7v7
BU10 Red,102,2026-06-28T12:40:00-04:00,Acushnet Youth Soccer Acushnet FC (Araujo),0 - 1,Attleboro Spartans,Flagg Street Soccer Complex - Field 3 - 7v7
